 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	Day	Ndays	d_TW	d_TW	d_TW	d_RW	d_RW	d_RW	TW	TW	TW	RW	RW	RW	N_TOP	N_TOP	N_TOP	N_ROOT	N_ROOT	N_ROOT	Tact	Tact	Tact	Ract	Ract	Ract	Topt	Topt	Topt	Ropt	Ropt	Ropt	NDemand	NDemand	NDemand	NUptake	NUptake	NUptake	NSupply	NSupply	NSupply	NSUF	NSUF	NSUF	WSUF	WSUF	WSUF	NupCum	NupCum	NupCum
360	46	1	0.08104	0.08104	0.08104	0.01819	0.01819	0.01819	2.7	2.7	2.7	2.3	2.3	2.3	0.04245	0.04245	0.04245	0.03173	0.03173	0.03173	1.57	1.57	1.57	1.37	1.37	1.37	1.57	1.57	1.57	1.37	1.37	1.37	0.00200	0.00200	0.00200	0.00200	0.00200	0.00200	0.00682	0.00682	0.00682	1.000	1.000	1	1.000	1.000	1	0.045	0.045	0.045
361	47	1	0.06711	0.06711	0.06711	0.02738	0.02738	0.02738	2.8	2.8	2.8	2.3	2.3	2.3	0.04372	0.04372	0.04372	0.03229	0.03229	0.03229	1.58	1.58	1.58	1.38	1.38	1.38	1.58	1.58	1.58	1.38	1.38	1.38	0.00182	0.00182	0.00182	0.00182	0.00182	0.00182	0.00688	0.00688	0.00688	1.000	1.000	1	1.000	1.000	1	0.046	0.046	0.046
362	48	1	0.01143	0.01143	0.01143	0.00127	0.00127	0.00127	2.8	2.8	2.8	2.3	2.3	2.3	0.04398	0.04398	0.04398	0.03237	0.03237	0.03237	1.59	1.59	1.59	1.39	1.39	1.39	1.59	1.59	1.59	1.39	1.39	1.39	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00692	0.00692	0.00692	1.000	1.000	1	1.000	1.000	1	0.047	0.047	0.047
363	49	1	0.04062	0.04062	0.04062	0.01517	0.01517	0.01517	2.8	2.8	2.8	2.4	2.4	2.4	0.04475	0.04475	0.04475	0.03269	0.03269	0.03269	1.59	1.59	1.59	1.39	1.39	1.39	1.59	1.59	1.59	1.39	1.39	1.39	0.00108	0.00108	0.00108	0.00108	0.00108	0.00108	0.00694	0.00694	0.00694	1.000	1.000	1	1.000	1.000	1	0.048	0.048	0.048
364	50	1	0.04396	0.04396	0.04396	0.02629	0.02629	0.02629	2.9	2.9	2.9	2.4	2.4	2.4	0.04558	0.04558	0.04558	0.03317	0.03317	0.03317	1.59	1.59	1.59	1.39	1.39	1.39	1.59	1.59	1.59	1.39	1.39	1.39	0.00131	0.00131	0.00131	0.00131	0.00131	0.00131	0.00699	0.00699	0.00699	1.000	1.000	1	1.000	1.000	1	0.049	0.049	0.049
365	51	1	0.07634	0.07634	0.07634	0.01682	0.01682	0.01682	2.9	2.9	2.9	2.4	2.4	2.4	0.04704	0.04704	0.04704	0.03359	0.03359	0.03359	1.60	1.60	1.6	1.40	1.40	1.4	1.60	1.60	1.6	1.40	1.40	1.4	0.00188	0.00188	0.00188	0.00188	0.00188	0.00188	0.00708	0.00708	0.00708	1.000	1.000	1	1.000	1.000	1	0.051	0.051	0.051
1	52	1	0.07633	0.07633	0.07633	0.03945	0.03945	0.03945	3.0	3.0	3	2.4	2.4	2.4	0.04850	0.04850	0.04850	0.03434	0.03434	0.03434	1.61	1.61	1.61	1.41	1.41	1.41	1.61	1.61	1.61	1.41	1.41	1.41	0.00220	0.00220	0.00220	0.00220	0.00220	0.00220	0.00714	0.00714	0.00714	1.000	1.000	1	1.000	1.000	1	0.053	0.053	0.053
2	53	1	0.05478	0.05478	0.05478	0.01476	0.01476	0.01476	3.1	3.1	3.1	2.4	2.4	2.4	0.04955	0.04955	0.04955	0.03468	0.03468	0.03468	1.62	1.62	1.62	1.42	1.42	1.42	1.62	1.62	1.62	1.42	1.42	1.42	0.00139	0.00139	0.00139	0.00139	0.00139	0.00139	0.00727	0.00727	0.00727	1.000	1.000	1	1.000	1.000	1	0.055	0.055	0.055
3	54	1	0.00000	0.00000	0	0.00000	0.00000	0	3.1	3.1	3.1	2.4	2.4	2.4	0.04955	0.04955	0.04955	0.03468	0.03468	0.03468	1.62	1.62	1.62	1.42	1.42	1.42	1.62	1.62	1.62	1.42	1.42	1.42	0.00000	0.00000	7.E-6	0.00000	0.00000	7.E-6	0.00732	0.00732	0.00732	1.000	1.000	1	1.000	1.000	1	0.055	0.055	0.055
4	55	1	0.00000	0.00000	0	0.00000	0.00000	0	3.1	3.1	3.1	2.4	2.4	2.4	0.04955	0.04955	0.04955	0.03469	0.03469	0.03469	1.62	1.62	1.62	1.42	1.42	1.42	1.62	1.62	1.62	1.42	1.42	1.42	0.00000	0.00000	7.E-6	0.00000	0.00000	7.E-6	0.00733	0.00733	0.00733	1.000	1.000	1	1.000	1.000	1	0.055	0.055	0.055
