 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubP	SubP	SubP	DrCm3	DrCm3	DrCm3	DrPconc	DrPconc	DrPconc	DrainP	DrainP	DrainP	PReleas	PReleas	PReleas	PUptake	PUptake	PUptake	CumDr	CumDr	CumDr	CumDrP	CumDrP	CumDrP	ROcm3	ROcm3	ROcm3	RO_Pcon	RO_Pcon	RO_Pcon	Ro_P	Ro_P	Ro_P	CumRoP	CumRoP	CumRoP	THRU_P	THRU_P	THRU_P	IrP	IrP	IrP	CumIrP	CumIrP	CumIrP
358	44	1	0.09532	0.09532	0.09532	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00111	0.00111	0.00111	0.00026	0.00026	0.00026	764.8	764.8	764.8	0.00814	0.00814	0.00814	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00814	0.00814	0.00814	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
359	45	1	0.09618	0.09618	0.09618	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00115	0.00115	0.00115	0.00029	0.00029	0.00029	764.8	764.8	764.8	0.00814	0.00814	0.00814	9.5	9.5	9.5	0.00000	0.00000	0	0.00000	0.00000	0	0.00814	0.00814	0.00814	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
360	46	1	0.09695	0.09695	0.09695	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00103	0.00103	0.00103	0.00026	0.00026	0.00026	764.8	764.8	764.8	0.00814	0.00814	0.00814	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00814	0.00814	0.00814	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
361	47	1	0.09643	0.09643	0.09643	73.5	73.5	73.5	0.00001	0.00001	1.E-5	0.00119	0.00119	0.00119	0.00092	0.00092	0.00092	0.00024	0.00024	0.00024	838.3	838.3	838.3	0.00933	0.00933	0.00933	94.0	94.0	94	0.00001	0.00001	1.E-5	0.00119	0.00119	0.00119	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
362	48	1	0.09711	0.09711	0.09711	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00072	0.00072	0.00072	0.00004	0.00004	4.E-5	838.3	838.3	838.3	0.00933	0.00933	0.00933	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
363	49	1	0.09777	0.09777	0.09777	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00080	0.00080	0.00080	0.00014	0.00014	0.00014	838.3	838.3	838.3	0.00933	0.00933	0.00933	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
364	50	1	0.09848	0.09848	0.09848	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00088	0.00088	0.00088	0.00017	0.00017	0.00017	838.3	838.3	838.3	0.00933	0.00933	0.00933	8.1	8.1	8.1	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
365	51	1	0.09939	0.09939	0.09939	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00116	0.00116	0.00116	0.00025	0.00025	0.00025	838.3	838.3	838.3	0.00933	0.00933	0.00933	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
1	52	1	0.10022	0.10022	0.10022	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00111	0.00111	0.00111	0.00029	0.00029	0.00029	838.3	838.3	838.3	0.00933	0.00933	0.00933	10.1	10.1	10.1	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
2	53	1	0.10092	0.10092	0.10092	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00088	0.00088	0.00088	0.00018	0.00018	0.00018	838.3	838.3	838.3	0.00933	0.00933	0.00933	2.3	2.3	2.3	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
3	54	1	0.10154	0.10154	0.10154	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00062	0.00062	0.00062	0.00000	0.00000	1.E-6	838.3	838.3	838.3	0.00933	0.00933	0.00933	7.6	7.6	7.6	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
4	55	1	0.10221	0.10221	0.10221	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00066	0.00066	0.00066	0.00000	0.00000	1.E-6	838.3	838.3	838.3	0.00933	0.00933	0.00933	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
5	56	1	0.10301	0.10301	0.10301	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00083	0.00083	0.00083	0.00003	0.00003	3.E-5	838.3	838.3	838.3	0.00933	0.00933	0.00933	7.4	7.4	7.4	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
6	57	1	0.10383	0.10383	0.10383	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00104	0.00104	0.00104	0.00021	0.00021	0.00021	838.3	838.3	838.3	0.00933	0.00933	0.00933	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
7	58	1	0.10473	0.10473	0.10473	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00116	0.00116	0.00116	0.00026	0.00026	0.00026	838.3	838.3	838.3	0.00933	0.00933	0.00933	11.0	11.0	11	0.00000	0.00000	0	0.00000	0.00000	0	0.00933	0.00933	0.00933	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
